R137940102,20160316,20160418,49
R294225992,20160319,20160420,48
R299071115,20160319,20160420,51
R687196849,20160330,20160413,28
R301455030,20160330,20160419,31
R988395184,20160330,20160419,31
R241548255,20160330,20160418,15
R762520629,20160330,20160413,28
R743154149,20160330,20160418,42
R608917311,20160330,20160420,26
R477032251,20160404,20160420,27
R394487452,20160409,20160420,28
R596351922,20160410,20160416,16
R582071341,20160410,20160420,20
R356671262,20160410,20160420,24
R555429981,20160410,20160413,12
R633677195,20160410,20160419,16
R597313154,20160410,20160419,28
R720092592,20160410,20160418,16
R550540137,20160410,20160418,24
R295648164,20160410,20160417,16
R111974229,20160417,20160418,4
R378822078,20160417,20160419,8
R570079905,20160417,20160420,4
R445452623,20160417,20160420,4
R892174905,20160417,20130306,0
R72001681,20160417,20160419,4
R298514485,20160417,20160419,4
R960883220,20160417,20160420,8
R456449338,20160417,20130306,0
R605158026,20160417,20160418,4
R91943222,20160417,20160418,4
R714845004,20160417,20160419,8
